close_time,trading_pair,open,close,high,low,volume,trades_amount
1674392400,ETHUSDT,1624.57,1633.61,1634.93,1620.18,14592.638,23758929
1674388800,ETHUSDT,1625.61,1624.57,1628.33,1618.47,9986.639,16215843
1674385200,ETHUSDT,1624.92,1625.61,1627.74,1620.0,10884.697,17685356
1674381600,ETHUSDT,1631.35,1624.92,1631.85,1622.62,13714.881,22318008
1674378000,ETHUSDT,1627.07,1631.35,1631.55,1620.83,14179.809,23063495
1674374400,ETHUSDT,1628.79,1627.08,1630.0,1626.87,7846.51,12777214
1674370800,ETHUSDT,1627.72,1628.79,1631.15,1626.5,8155.976,13286740
1674367200,ETHUSDT,1626.18,1627.73,1631.09,1625.76,12794.979,20826347
1674363600,ETHUSDT,1622.51,1626.18,1628.85,1620.77,12456.296,20240041
1674360000,ETHUSDT,1615.68,1622.5,1622.85,1615.67,11131.943,18025693
1674356400,ETHUSDT,1623.88,1615.68,1625.57,1604.0,17542.443,28336043
1674352800,ETHUSDT,1632.34,1623.89,1633.13,1614.71,23960.389,38895979
1674349200,ETHUSDT,1626.65,1632.35,1636.49,1622.55,13924.632,22707606
1674345600,ETHUSDT,1628.96,1626.66,1643.9,1622.09,34804.156,56747272
1674342000,ETHUSDT,1663.26,1628.96,1663.67,1625.99,12751.218,20999167
1674338400,ETHUSDT,1654.19,1663.27,1664.57,1651.71,10377.962,17199911
1674334800,ETHUSDT,1663.18,1654.19,1667.97,1654.13,12146.113,20157391
1674331200,ETHUSDT,1661.21,1663.19,1668.88,1658.09,13930.596,23175682
1674327600,ETHUSDT,1655.34,1661.21,1661.96,1649.88,9682.141,16027457
1674324000,ETHUSDT,1657.78,1655.34,1661.49,1647.27,18030.875,29853764
1674320400,ETHUSDT,1647.27,1657.77,1661.39,1645.84,18836.57,31175788
1674316800,ETHUSDT,1649.01,1647.26,1667.29,1643.29,35896.195,59480679
1674313200,ETHUSDT,1650.54,1649.01,1654.0,1646.72,9528.69,15725215
1674309600,ETHUSDT,1658.58,1650.54,1658.59,1645.5,15609.847,25782119
1674306000,ETHUSDT,1647.04,1658.59,1660.0,1645.31,20043.09,33114323
1674302400,ETHUSDT,1641.25,1647.04,1650.0,1632.6,19960.855,32788921
1674298800,ETHUSDT,1662.28,1641.25,1679.26,1616.21,101287.08,166809612
1674295200,ETHUSDT,1647.29,1662.28,1665.48,1644.81,28320.48,46837676
1674291600,ETHUSDT,1651.2,1647.28,1654.01,1646.2,13574.455,22412583
1674288000,ETHUSDT,1652.96,1651.19,1654.0,1649.43,8990.722,14853608
1674284400,ETHUSDT,1646.03,1652.96,1654.33,1645.04,10127.605,16709584
1674280800,ETHUSDT,1650.46,1646.02,1650.46,1645.42,7092.5396,11693470
1674277200,ETHUSDT,1648.81,1650.45,1654.92,1647.0,9497.224,15688601
1674273600,ETHUSDT,1648.45,1648.8,1650.34,1644.49,9754.963,16078703
1674270000,ETHUSDT,1652.25,1648.46,1657.0,1642.6,16476.129,27196832
1674266400,ETHUSDT,1654.7,1652.26,1658.17,1652.23,15599.542,25817901
1674262800,ETHUSDT,1658.53,1654.71,1676.61,1653.21,41929.555,69663841
1674259200,ETHUSDT,1651.93,1658.52,1662.48,1649.64,19424.973,32178795
1674255600,ETHUSDT,1636.83,1651.94,1669.9,1635.97,37783.617,62384714
1674252000,ETHUSDT,1641.34,1636.83,1650.95,1635.38,27894.363,45791232
